feature,avg_importance
vol20_ktb_10y,102.5928611111111
ret20_kospi,91.22540598290598
z60_us_ffr,87.97791452991454
vol20_ktb_3y,87.97027991452993
z60_sp_kepco_5y,78.75479487179487
z60_cd_base_spread,77.73378418803419
z60_vol_kospi,77.69177564102564
vol20_ktb_5y,75.2570747863248
sp_kepco_5y,74.66977564102564
z60_cd_91d,72.19200000000001
z252_cd_base_spread,72.02410470085469
d60_slope_30y10y,70.80420085470085
ret1_sp500,69.98586324786325
fgn_kospi_cum20,69.43926282051282
d20_slope_30y10y,69.34481623931624
usdkrw_range,68.04806837606837
d60_bfly_3_5_10,67.29919017094018
d5_bfly_3_5_10,67.16343162393163
d20_sp_kepco_5y,67.14600213675213
z60_tedrate,67.00153846153846
z60_us_spr_10_30,65.96154487179487
z60_slope_30y10y,65.47078632478632
d5_slope_30y10y,65.36205555555556
d20_slope_30y5y,65.09638675213675
vol20_kospi,64.70635897435898
d20_sp_indfin_1y,64.66494230769231
z60_sp_indfin_1y,63.952777777777776
ret1_kospi,63.914168803418804
d20_bfly_3_5_10,63.30219017094017
d5_slope_30y5y,62.56396367521368
