level,threshold,target,n_signals,coverage,hit_rate,mean_pnl_bp,cum_pnl_bp,ann_pnl_bp,max_dd_bp,calmar
STRONG,0.65,ktb_3y,1127,0.970714900947459,0.5918367346938775,1.5753327417923693,1775.3999999999974,213.16480263157862,-487.2000000000003,0.4375303830697424
STRONG,0.65,ktb_5y,1029,0.8863049095607235,0.5539358600583091,1.1040816326530616,1136.1000000000004,136.40674342105265,-580.8000000000002,0.23486009542192254
STRONG,0.65,ktb_10y,1120,0.9646856158484065,0.5410714285714285,0.7129464285714282,798.5000000000011,95.87253289473699,-738.8999999999999,0.12975034902522264
STRONG,0.65,ktb_30y,1097,0.9448751076658053,0.5515041020966271,1.148404740200547,1259.8000000000006,151.25888157894744,-363.30000000000007,0.41634704535906253
STRONG,0.65,spread_ktb_3_10,1139,0.9810508182601206,0.5408252853380158,0.49473222124670785,563.5000000000002,67.65707236842108,-174.10000000000025,0.38861040992774837
STRONG,0.65,spread_ktb_5_30,1135,0.9776055124892334,0.5110132158590308,-0.02748898678414141,-31.200000000000852,-3.74605263157905,-628.7000000000007,-0.00595841042083513
STRONG,0.65,spread_ktb_10_30,1005,0.8656330749354005,0.45174129353233833,-0.5054726368159205,-507.99999999999994,-60.993421052631575,-554.0,-0.11009642789283677
MODERATE,0.6,ktb_3y,1137,0.979328165374677,0.5910290237467019,1.5537379067722075,1766.5999999999976,212.10822368421023,-487.20000000000016,0.43536170706939686
MODERATE,0.6,ktb_5y,1082,0.9319552110249785,0.5582255083179297,1.1462107208872463,1240.200000000001,148.90559210526328,-614.8000000000002,0.24220167876588033
MODERATE,0.6,ktb_10y,1138,0.9801894918173988,0.5404217926186292,0.7110720562390156,809.2000000000007,97.15723684210535,-718.5999999999999,0.1352035024243047
MODERATE,0.6,ktb_30y,1118,0.9629629629629629,0.5536672629695886,1.1903398926654745,1330.8000000000013,159.7835526315791,-363.30000000000007,0.4398115954626454
MODERATE,0.6,spread_ktb_3_10,1151,0.9913867355727821,0.5403996524761078,0.4872284969591663,560.8000000000004,67.33289473684215,-172.09999999999985,0.3912428514633481
MODERATE,0.6,spread_ktb_5_30,1146,0.9870801033591732,0.5087260034904014,-0.05785340314136152,-66.30000000000092,-7.960361842105375,-658.6000000000013,-0.012086792957949224
MODERATE,0.6,spread_ktb_10_30,1065,0.917312661498708,0.4563380281690141,-0.4645070422535212,-494.7000000000001,-59.39654605263159,-577.1999999999999,-0.10290461894080319
WEAK,0.55,ktb_3y,1147,0.9879414298018949,0.5919790758500436,1.551700087183958,1779.7999999999981,213.6930921052629,-487.20000000000016,0.4386147210699155
WEAK,0.55,ktb_5y,1118,0.9629629629629629,0.5581395348837209,1.097316636851521,1226.8000000000013,147.29671052631596,-640.4000000000003,0.2300073556001185
WEAK,0.55,ktb_10y,1153,0.9931093884582257,0.5394622723330442,0.7331309627059843,845.300000000001,101.49161184210537,-692.3999999999999,0.14657945095624694
WEAK,0.55,ktb_30y,1137,0.979328165374677,0.5549692172383466,1.2193491644678982,1386.4000000000012,166.45921052631593,-363.30000000000007,0.4581866516000988
WEAK,0.55,spread_ktb_3_10,1156,0.9956933677863911,0.5397923875432526,0.45830449826989655,529.8000000000004,63.61085526315794,-172.09999999999974,0.3696156610293901
WEAK,0.55,spread_ktb_5_30,1151,0.9913867355727821,0.5099913119026933,-0.0521285838401394,-60.00000000000098,-7.20394736842117,-652.3000000000013,-0.01104391747420076
WEAK,0.55,spread_ktb_10_30,1103,0.9500430663221361,0.457842248413418,-0.4321849501359926,-476.6999999999999,-57.23536184210525,-577.4999999999998,-0.09910885167464116
