target,direction,n_models,n,pos_rate,accuracy,auc,hit@60,cov@60,hit@70,cov@70,composite
ktb_10y,persist,3,715,0.9216783216783216,0.9020979020979021,0.8114838499891611,0.9093525179856116,0.972027972027972,0.9316109422492401,0.9202797202797203,1.5287674768327273
ktb_30y,persist,3,2057,0.9513855128828391,0.9368011667476908,0.7380020439448135,0.9445831253120319,0.9737481769567331,0.9482846902201741,0.9494409333981526,1.4168060629742678
ktb_3y,persist,3,587,0.9267461669505963,0.9028960817717206,0.895904582763338,0.9221014492753623,0.9403747870528109,0.9569471624266145,0.8705281090289608,1.672762219265108
ktb_5y,persist,3,618,0.9401294498381877,0.9368932038834952,0.8484439689258966,0.9484193011647255,0.9724919093851133,0.9581151832460733,0.9271844660194175,1.6309893771585195
spread_aa_3y,persist,3,2057,0.7812348079727759,0.7812348079727759,0.59611422249879,0.7848289538919186,0.9805542051531356,0.7867684478371502,0.9552746718522119,1.054864253716867
spread_bbb_3y,persist,3,2057,0.91541079241614,0.8974234321827905,0.5992943517619841,0.9099597585513078,0.966456003889159,0.9177148846960168,0.9275644141954302,1.1263354224170299
spread_ktb_10_30,persist,3,2057,0.8055420515313564,0.7894992707826932,0.6055612552806277,0.808870116156283,0.9207583859990277,0.8192982456140351,0.8313077297034517,1.056567498882923
spread_ktb_3_10,persist,3,2057,0.9368011667476908,0.9285367039377734,0.7615863638178118,0.9393179538615848,0.9693728731161886,0.9441253263707572,0.9309674282936315,1.4550483275663588
spread_ktb_5_30,persist,3,2057,0.7306757413709285,0.6961594555177443,0.5896450180265221,0.7162162162162162,0.8993680116674769,0.749185667752443,0.7462323772484201,0.9694601122827895
